Ensembl	EntrezGene
AT1G02790-TAIR-G	839391
AT1G02800-TAIR-G	839385
AT1G02810-TAIR-G	838078
AT1G02813-TAIR-G	839360
AT1G02816-TAIR-G	839308
AT1G02820-TAIR-G	839304
AT1G02830-TAIR-G	838098
AT1G02840-TAIR-G	839262
AT1G02850-TAIR-G	839435
AT1G02860-TAIR-G	839559
AT1G02870-TAIR-G	839496
AT1G02880-TAIR-G	839303
AT1G02890-TAIR-G	839507
AT1G02900-TAIR-G	839389
AT1G02910-TAIR-G	839350
AT1G02920-TAIR-G	839295
AT1G02930-TAIR-G	839515
AT1G02940-TAIR-G	839479
AT1G02950-TAIR-G	838240
AT1G02960-TAIR-G	839363
AT1G02965-TAIR-G	839537
AT1G02970-TAIR-G	839453
AT1G02980-TAIR-G	839415
AT1G02990-TAIR-G	839380
AT1G03000-TAIR-G	839315
AT1G03010-TAIR-G	839556
AT1G03020-TAIR-G	839505
AT1G03022-TAIR-G	6241350
AT1G03030-TAIR-G	839473
AT1G03040-TAIR-G	839446
AT1G03050-TAIR-G	839416
AT1G03055-TAIR-G	838334
AT1G03060-TAIR-G	839323
AT1G03070-TAIR-G	839581
AT1G03080-TAIR-G	838350
AT1G03090-TAIR-G	838362
AT1G03100-TAIR-G	839573
AT1G03103-TAIR-G	2745739
AT1G03106-TAIR-G	2745740
AT1G03110-TAIR-G	839572
AT1G03120-TAIR-G	839571
AT1G03130-TAIR-G	838400
AT1G03140-TAIR-G	839567
AT1G03150-TAIR-G	839562
AT1G03160-TAIR-G	839566
AT1G03170-TAIR-G	839563
AT1G03180-TAIR-G	839560
AT1G03190-TAIR-G	839557
AT1G03200-TAIR-G	839553
AT1G03210-TAIR-G	838493
AT1G03220-TAIR-G	838517
AT1G03230-TAIR-G	838532
AT1G03240-TAIR-G	838546
AT1G03250-TAIR-G	838557
AT1G03260-TAIR-G	839546
AT1G03270-TAIR-G	838595
AT1G03280-TAIR-G	838581
AT1G03290-TAIR-G	838603
AT1G03300-TAIR-G	838627
AT1G03310-TAIR-G	839531
AT1G03320-TAIR-G	839528
AT1G03330-TAIR-G	839526
AT1G03340-TAIR-G	839525
AT1G03350-TAIR-G	838679
AT1G03360-TAIR-G	839521
AT1G03370-TAIR-G	839519
AT1G03380-TAIR-G	838702
AT1G03390-TAIR-G	838725
AT1G03400-TAIR-G	838751
AT1G03410-TAIR-G	838763
AT1G03430-TAIR-G	839506
AT1G03440-TAIR-G	839504
AT1G03445-TAIR-G	838804
AT1G03457-TAIR-G	839497
AT1G03470-TAIR-G	839494
AT1G03475-TAIR-G	839489
AT1G03490-TAIR-G	839487
AT1G03495-TAIR-G	3766646
AT1G03510-TAIR-G	839478
